Day,LeafArea,Stage
25,40.8839779,late
25,39.55801105,late
26,75.69060773,late
26,72.70718232,late
26,71.04972376,late
26,70.38674033,late
26,64.4198895,late
26,62.76243094,late
26,62.09944751,late
26,61.10497238,late
26,58.12154696,late
26,57.12707182,late
26,54.47513812,late
26,52.81767956,late
26,48.50828729,late
26,46.51933702,late
26,44.19889503,late
26,37.23756906,late
27,78.34254144,late
27,76.35359116,late
27,75.35911602,late
27,74.03314917,late
27,73.03867403,late
27,69.72375691,late
27,68.72928177,late
27,68.06629834,late
27,67.40331492,late
27,66.40883978,late
27,65.74585635,late
27,64.08839779,late
27,63.42541436,late
27,60.77348066,late
27,57.45856354,late
27,55.80110497,late
27,53.14917127,late
27,52.15469613,late
27,46.85082873,late
28,84.97237569,late
28,79.33701657,late
28,75.69060773,late
28,74.6961326,late
28,73.70165746,late
28,72.37569061,late
28,70.71823204,late
28,70.05524862,late
28,68.72928177,late
28,65.41436464,late
28,64.75138122,late
28,64.08839779,late
28,60.77348066,late
28,60.11049724,late
28,59.1160221,late
28,57.79005525,late
28,56.4640884,late
28,55.80110497,late
28,46.51933702,late
29,49.83425414,late
29,50.82872928,late
29,59.1160221,late
29,60.44198895,late
29,61.7679558,late
29,63.42541436,late
29,64.75138122,late
29,65.41436464,late
29,66.07734807,late
29,67.40331492,late
29,69.06077348,late
29,70.05524862,late
29,70.71823204,late
29,72.0441989,late
29,74.03314917,late
30,54.14364641,late
30,55.46961326,late
30,57.12707182,late
30,57.79005525,late
30,59.1160221,late
30,60.11049724,late
30,61.7679558,late
30,62.76243094,late
30,65.08287293,late
30,67.40331492,late
30,68.06629834,late
30,68.72928177,late
30,69.72375691,late
30,71.04972376,late
30,72.70718232,late
30,73.70165746,late
30,76.35359116,late
30,76.68508287,late
30,79.00552486,late
31,50.49723757,late
31,53.8121547,late
31,55.46961326,late
31,56.79558011,late
31,57.45856354,late
31,58.12154696,late
31,60.11049724,late
31,61.43646409,late
31,63.42541436,late
31,66.40883978,late
31,67.73480663,late
31,68.72928177,late
31,69.39226519,late
31,73.03867403,late
31,74.36464088,late
31,78.34254144,late
31,80.66298343,late
32,50.82872928,late
32,55.13812155,late
32,57.12707182,late
32,57.45856354,late
32,58.45303867,late
32,59.44751381,late
32,59.77900552,late
32,60.77348066,late
32,61.7679558,late
32,63.09392265,late
32,64.75138122,late
32,66.07734807,late
32,66.74033149,late
32,67.73480663,late
32,68.06629834,late
32,69.06077348,late
32,70.38674033,late
32,72.37569061,late
32,73.03867403,late
32,74.36464088,late
32,76.68508287,late
32,79.66850829,late
33,50.16574586,late
33,51.82320442,late
33,52.81767956,late
33,54.80662983,late
33,55.46961326,late
33,56.79558011,late
33,57.79005525,late
33,58.12154696,late
33,60.44198895,late
33,61.10497238,late
33,64.08839779,late
33,64.75138122,late
33,65.74585635,late
33,66.74033149,late
33,69.39226519,late
33,70.71823204,late
33,71.04972376,late
33,72.0441989,late
33,75.02762431,late
34,47.18232044,late
34,49.83425414,late
34,54.14364641,late
34,55.46961326,late
34,56.13259669,late
34,57.12707182,late
34,57.79005525,late
34,58.78453039,late
34,60.11049724,late
34,62.76243094,late
34,64.4198895,late
34,65.08287293,late
34,67.0718232,late
34,68.06629834,late
34,68.72928177,late
34,73.70165746,late
34,75.35911602,late
35,51.49171271,late
35,52.81767956,late
35,53.14917127,late
35,55.80110497,late
35,57.12707182,late
35,58.12154696,late
35,59.44751381,late
35,60.44198895,late
35,61.10497238,late
35,61.7679558,late
35,64.4198895,late
35,65.74585635,late
35,67.40331492,late
35,69.06077348,late
35,70.38674033,late
35,72.70718232,late
35,73.37016575,late
35,76.68508287,late
35,77.3480663,late
36,47.51381215,late
36,51.82320442,late
36,53.14917127,late
36,54.14364641,late
36,55.13812155,late
36,55.80110497,late
36,58.12154696,late
36,58.45303867,late
36,59.1160221,late
36,60.77348066,late
36,61.10497238,late
36,63.75690608,late
36,65.74585635,late
36,65.41436464,late
36,67.73480663,late
36,68.72928177,late
36,73.37016575,late
36,74.36464088,late
36,75.69060773,late
36,77.67955801,late
37,49.17127072,late
37,52.15469613,late
37,53.8121547,late
37,54.47513812,late
37,56.13259669,late
37,56.4640884,late
37,57.45856354,late
37,58.78453039,late
37,59.44751381,late
37,61.43646409,late
37,63.09392265,late
37,65.41436464,late
37,68.39779006,late
37,69.39226519,late
37,71.04972376,late
37,72.0441989,late
38,46.85082873,late
38,47.51381215,late
38,50.16574586,late
38,54.14364641,late
38,54.80662983,late
38,56.13259669,late
38,56.4640884,late
38,57.79005525,late
38,59.1160221,late
38,60.44198895,late
38,62.76243094,late
38,65.41436464,late
38,69.72375691,late
38,70.05524862,late
38,71.38121547,late
38,73.03867403,late
39,48.17679558,late
39,52.15469613,late
39,54.47513812,late
39,55.13812155,late
39,56.79558011,late
39,57.12707182,late
39,59.1160221,late
39,60.11049724,late
39,61.10497238,late
39,64.08839779,late
39,65.74585635,late
39,69.06077348,late
39,70.71823204,late
39,71.38121547,late
39,72.37569061,late
39,74.03314917,late
39,76.35359116,late
